System Current (A)_x,System Current (A)_y,System Voltage (V)_x,System Voltage (V)_y,3.3V Current (A)_x,3.3V Current (A)_y,5V Current (A)_x,5V Current (A)_y,12V Current (A)_x,12V Current (A)_y
16.8634288311,0.,16.8634288311,15.438,16.8634288311,34.921,16.8634288311,5.372,16.8634288311,8.059
16.8639187813,0.,16.8639187813,15.408,16.8639187813,88.645,16.8639187813,8.059,16.8639187813,8.059
16.8642828465,0.,16.8642828465,15.527,16.8642828465,42.979,16.8642828465,5.372,16.8642828465,5.372
16.8646419048,0.,16.8646419048,15.482,16.8646419048,32.234,16.8646419048,5.372,16.8646419048,10.745
16.9030468464,0.,16.9030468464,15.475,16.9030468464,32.234,16.9030468464,5.372,16.9030468464,10.745
16.9035687447,0.,16.9035687447,15.482,16.9035687447,29.548,16.9035687447,5.372,16.9035687447,8.059
16.9039480686,0.,16.9039480686,15.415,16.9039480686,53.724,16.9039480686,5.372,16.9039480686,8.059
16.9043037891,0.,16.9043037891,15.52,16.9043037891,32.234,16.9043037891,5.372,16.9043037891,8.059
16.9435639381,0.,16.9435639381,15.445,16.9435639381,29.548,16.9435639381,5.372,16.9435639381,8.059
16.9441008568,0.,16.9441008568,15.415,16.9441008568,91.331,16.9441008568,5.372,16.9441008568,5.372
16.9445047379,0.,16.9445047379,15.475,16.9445047379,21.49,16.9445047379,5.372,16.9445047379,5.372
16.9448950291,0.,16.9448950291,15.408,16.9448950291,64.469,16.9448950291,10.745,16.9448950291,5.372
16.9832959175,0.,16.9832959175,15.549,16.9832959175,32.234,16.9832959175,5.372,16.9832959175,5.372
16.9837729931,0.,16.9837729931,15.497,16.9837729931,40.293,16.9837729931,8.059,16.9837729931,5.372
16.9841609001,0.,16.9841609001,15.482,16.9841609001,29.548,16.9841609001,5.372,16.9841609001,5.372
17.0234999657,0.,17.0234999657,15.527,17.0234999657,72.527,17.0234999657,8.059,17.0234999657,5.372
17.0239748955,0.,17.0239748955,15.527,17.0239748955,37.607,17.0239748955,8.059,17.0239748955,8.059
17.0243279934,0.,17.0243279934,15.445,17.0243279934,51.038,17.0243279934,5.372,17.0243279934,5.372
17.0246908665,0.,17.0246908665,15.415,17.0246908665,34.921,17.0246908665,5.372,17.0246908665,8.059
17.0634617805,0.,17.0634617805,15.52,17.0634617805,56.41,17.0634617805,5.372,17.0634617805,5.372
17.0640168190,0.,17.0640168190,15.497,17.0640168190,56.41,17.0640168190,5.372,17.0640168190,8.059
17.0643899441,0.,17.0643899441,15.423,17.0643899441,34.921,17.0643899441,5.372,17.0643899441,5.372
17.0647497177,0.,17.0647497177,15.415,17.0647497177,40.293,17.0647497177,8.059,17.0647497177,10.745
17.1033918858,0.,17.1033918858,15.46,17.1033918858,91.331,17.1033918858,5.372,17.1033918858,8.059
17.1038899422,0.,17.1038899422,15.542,17.1038899422,67.155,17.1038899422,5.372,17.1038899422,5.372
17.1434328556,0.,17.1434328556,15.482,17.1434328556,51.038,17.1434328556,8.059,17.1434328556,8.059
17.1439790726,0.,17.1439790726,15.49,17.1439790726,42.979,17.1439790726,5.372,17.1439790726,8.059
17.1443529129,0.,17.1443529129,15.497,17.1443529129,42.979,17.1443529129,5.372,17.1443529129,5.372
17.1447150707,0.,17.1447150707,15.467,17.1447150707,51.038,17.1447150707,5.372,17.1447150707,8.059
17.1827898026,0.,17.1827898026,15.415,17.1827898026,45.665,17.1827898026,5.372,17.1827898026,5.372
17.1833038330,0.,17.1833038330,15.564,17.1833038330,128.938,17.1833038330,5.372,17.1833038330,8.059
17.1836700439,0.,17.1836700439,15.497,17.1836700439,42.979,17.1836700439,5.372,17.1836700439,8.059
